txn_id,date,description,amount
BT0045,01/28/2026,AMZN DIRECT DEP ACH AMZ-SETTLE-0010,"25,657.43"
BT0046,02/25/2026,AMAZON WEB SERVICES AWS,"-12,500.00"
BT0047,02/06/2026,AMAZON WEB SERVICES AWS,"-12,500.00"
BT0048,02/11/2026,FACEBK *7H2K9 AD CHARGE,"-18,400.00"
BT0049,01/24/2026,FACEBK *7H2K9 AD CHARGE,"-18,400.00"
BT0050,03/02/2026,DIRECT WIRE TRF BENEFICIARY_1,"-18,261.98"
BT0051,03/09/2026,DIRECT WIRE TRF BENEFICIARY_2,"-21,555.23"
BT0052,02/04/2026,DIRECT WIRE TRF BENEFICIARY_3,"-20,737.98"
BT0053,02/15/2026,DIRECT WIRE TRF BENEFICIARY_4,"-19,698.30"
BT0054,02/07/2026,DIRECT WIRE TRF BENEFICIARY_5,"-19,984.08"
BT0055,01/19/2026,DIRECT WIRE TRF BENEFICIARY_6,"-8,049.13"
BT0056,02/06/2026,FEDEX 7729 *373,"-20,214.09"
BT0057,01/10/2026,INFLUENCER PAYOUT *979,"-3,415.91"
BT0058,03/05/2026,ALIBABA *RAWMAT *458,"-5,629.66"
BT0059,01/30/2026,USPS PB 8000 *508,"-6,194.75"
BT0060,02/10/2026,EASYPOST *459,"-21,717.34"
BT0061,03/15/2026,ACCOUNTING FIRM LLP *439,"-17,244.34"
BT0062,02/08/2026,GOOGLE *GSUITE *282,"-22,024.33"
BT0063,03/23/2026,COMCAST BUSINESS *544,"-1,725.82"
BT0064,03/02/2026,FLEXPORT 3PL *720,"-19,831.56"
BT0065,03/20/2026,WEWORK MEMBERSHIP *294,"-10,121.73"
BT0066,01/06/2026,SHIPBOB INC *632,"-17,952.60"
BT0067,01/31/2026,AMZN MKTP US*2H *472,"-18,210.21"
BT0068,02/17/2026,SHENZHEN MFG CO *738,"-23,762.76"
BT0069,02/13/2026,FLEXPORT 3PL *619,"-21,321.97"
BT0070,02/26/2026,FLEXPORT 3PL *813,"-10,683.11"
BT0071,02/28/2026,SHIPSTATION *780,"-3,880.36"
BT0072,02/13/2026,ALIBABA *RAWMAT *515,"-15,695.46"
BT0073,02/01/2026,WEWORK MEMBERSHIP *540,"-8,153.77"
BT0074,03/06/2026,UBER *TRIP *552,"-16,643.88"
BT0075,01/27/2026,ALIBABA *RAWMAT *774,"-13,170.41"
BT0076,03/28/2026,SLACK T0288 *734,"-13,273.94"
BT0077,02/05/2026,SHIPBOB INC *788,"-20,605.85"
BT0078,01/24/2026,USPS PB 8000 *125,"-20,318.82"
BT0079,03/25/2026,INTUIT *QBOOKS *970,"-24,611.25"
BT0080,03/27/2026,FIGMA MONTHLY *689,"-10,829.47"
BT0081,03/10/2026,INFLUENCER PAYOUT *509,"-17,651.77"
BT0082,01/06/2026,GOOGLE ADS 8842 *868,"-16,676.60"
BT0083,01/28/2026,VERCEL INC *923,"-11,088.54"
BT0084,02/06/2026,ACCOUNTING FIRM LLP *968,"-2,015.28"
BT0085,03/06/2026,FIGMA MONTHLY *783,"-4,026.81"
BT0086,03/03/2026,UBER *TRIP *727,"-15,209.95"
BT0087,03/17/2026,ACCOUNTING FIRM LLP *556,"-20,899.77"
BT0088,03/04/2026,INFLUENCER PAYOUT *365,"-21,648.18"
BT0089,03/13/2026,INFLUENCER PAYOUT *596,"-7,510.93"
BT0090,01/15/2026,DELOITTE TAX SVCS *830,"-7,445.26"
BT0091,02/15/2026,USPS PB 8000 *653,"-7,375.51"
BT0092,02/24/2026,INTUIT *QBOOKS *810,"-4,450.10"
BT0093,02/28/2026,INFLUENCER PAYOUT *517,"-5,977.66"
BT0094,01/13/2026,SHIPSTATION *311,"-12,075.37"
BT0095,03/21/2026,CONTRACT MFG ACH *812,"-22,697.09"
BT0096,03/20/2026,VERCEL INC *489,"-22,111.89"
BT0097,02/13/2026,SHENZHEN MFG CO *871,"-23,614.35"
BT0098,03/16/2026,CONTRACT MFG ACH *919,"-13,824.94"
BT0099,02/09/2026,STAPLES 00471 *546,"-12,615.15"
BT0100,02/26/2026,SHENZHEN MFG CO *841,"-10,210.34"
